case_number,incident_date,primary_type,crime_category,description,location_description,arrest,domestic,district,ward,community_area,fbi_code,year,month,day_of_week,hour_of_day,year_month
JB000402,2022-10-01 09:56:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,8,33,11,14,2022,10,Saturday,9,2022-10
JB000403,2023-04-16 04:29:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,1,0,25,35,57,26,2023,4,Sunday,4,2023-04
JB000404,2023-11-29 05:49:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,0,1,5,58,14,2023,11,Wednesday,5,2023-11
JB000405,2023-12-12 07:23:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,1,0,1,23,30,14,2023,12,Tuesday,7,2023-12
JB000406,2022-11-20 08:59:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,APARTMENT,0,0,4,22,69,14,2022,11,Sunday,8,2022-11
JB000407,2022-09-03 04:10:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,1,0,17,45,75,11,2022,9,Saturday,4,2022-09
JB000408,2022-07-21 23:45:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,COMMERCIAL / BUSINESS OFFICE,1,0,17,20,33,05,2022,7,Thursday,23,2022-07
JB000409,2022-01-25 02:00:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,RESIDENCE,0,0,24,17,59,14,2022,1,Tuesday,2,2022-01
JB000410,2023-12-04 10:04:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,25,43,42,07,2023,12,Monday,10,2023-12
JB000411,2023-07-18 13:41:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,PARKING LOT / GARAGE,0,0,16,21,30,03,2023,7,Tuesday,13,2023-07
JB000412,2022-02-21 22:51:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESTAURANT,0,0,20,49,28,06,2022,2,Monday,22,2022-02
JB000413,2022-01-16 22:33:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,RESIDENCE,1,0,10,50,17,08B,2022,1,Sunday,22,2022-01
JB000414,2023-07-07 23:06:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,25,13,7,05,2023,7,Friday,23,2023-07
JB000415,2023-12-30 00:46:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,0,0,18,11,23,08A,2023,12,Saturday,0,2023-12
JB000416,2023-12-08 03:10:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,0,0,7,48,38,05,2023,12,Friday,3,2023-12
JB000417,2022-12-07 20:51:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,3,32,59,06,2022,12,Wednesday,20,2022-12
JB000418,2023-09-23 06:22:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,APARTMENT,0,0,2,14,52,08A,2023,9,Saturday,6,2023-09
JB000419,2023-03-17 09:52:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,STREET,0,0,2,24,29,06,2023,3,Friday,9,2023-03
JB000420,2022-11-23 01:35:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,SMALL RETAIL STORE,1,0,6,48,70,11,2022,11,Wednesday,1,2022-11
JB000421,2022-09-09 18:39:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,1,0,22,10,22,07,2022,9,Friday,18,2022-09
JB000422,2023-11-19 21:51:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,PARKING LOT / GARAGE,0,0,20,50,46,14,2023,11,Sunday,21,2023-11
JB000423,2022-12-10 01:58:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,1,0,18,20,23,08A,2022,12,Saturday,1,2022-12
JB000424,2023-01-17 21:46:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,7,46,50,07,2023,1,Tuesday,21,2023-01
JB000425,2022-01-20 02:25:00,THEFT,Property,REPORTED THEFT INCIDENT,CTA TRAIN / STATION,0,0,8,5,7,03,2022,1,Thursday,2,2022-01
JB000426,2022-05-30 01:50:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,RESIDENCE,1,0,3,25,68,14,2022,5,Monday,1,2022-05
JB000427,2023-12-19 13:18:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,2,1,11,26,2023,12,Tuesday,13,2023-12
JB000428,2023-09-12 19:35:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESIDENCE,0,0,24,41,11,14,2023,9,Tuesday,19,2023-09
JB000429,2022-09-03 04:58:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,19,47,35,03,2022,9,Saturday,4,2022-09
JB000430,2023-04-17 06:01:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,6,3,45,03,2023,4,Monday,6,2023-04
JB000431,2023-08-27 19:48:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,SIDEWALK,0,0,10,2,54,07,2023,8,Sunday,19,2023-08
JB000432,2023-05-20 01:28:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SMALL RETAIL STORE,0,0,7,37,55,14,2023,5,Saturday,1,2023-05
JB000433,2023-11-08 04:54:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,RESTAURANT,0,0,11,5,49,06,2023,11,Wednesday,4,2023-11
JB000434,2022-02-01 00:43:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,14,21,11,03,2022,2,Tuesday,0,2022-02
JB000435,2022-03-07 03:30:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,SMALL RETAIL STORE,0,0,7,9,72,08A,2022,3,Monday,3,2022-03
JB000436,2022-03-18 01:28:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,RESIDENCE,0,0,4,30,73,05,2022,3,Friday,1,2022-03
JB000437,2023-07-20 13:19:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,5,28,8,14,2023,7,Thursday,13,2023-07
JB000438,2023-07-24 13:09:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,PARKING LOT / GARAGE,0,0,14,5,52,08B,2023,7,Monday,13,2023-07
JB000439,2022-03-20 13:10:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,STREET,0,0,3,20,64,07,2022,3,Sunday,13,2022-03
JB000440,2022-10-03 12:15:00,THEFT,Property,REPORTED THEFT INCIDENT,SMALL RETAIL STORE,0,0,16,18,3,26,2022,10,Monday,12,2022-10
JB000441,2023-02-03 19:32:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,1,44,18,03,2023,2,Friday,19,2023-02
JB000442,2022-10-23 16:03:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,8,27,75,18,2022,10,Sunday,16,2022-10
JB000443,2022-11-30 06:34:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,STREET,0,0,25,1,7,18,2022,11,Wednesday,6,2022-11
JB000444,2022-03-14 05:26:00,THEFT,Property,REPORTED THEFT INCIDENT,PARKING LOT / GARAGE,0,0,12,6,47,07,2022,3,Monday,5,2022-03
JB000445,2022-10-20 03:27:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,10,4,74,07,2022,10,Thursday,3,2022-10
JB000446,2023-12-22 13:19:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,1,2,46,45,26,2023,12,Friday,13,2023-12
JB000447,2023-03-31 04:08:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,STREET,0,0,14,19,60,26,2023,3,Friday,4,2023-03
JB000448,2022-01-15 13:47:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,15,25,66,14,2022,1,Saturday,13,2022-01
JB000449,2023-03-20 13:57:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,19,11,5,26,2023,3,Monday,13,2023-03
JB000450,2023-02-16 12:33:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,0,0,2,7,62,18,2023,2,Thursday,12,2023-02
JB000451,2022-12-23 12:48:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,PARKING LOT / GARAGE,0,0,11,23,41,03,2022,12,Friday,12,2022-12
JB000452,2023-03-18 21:37:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,1,1,9,39,48,06,2023,3,Saturday,21,2023-03
JB000453,2022-02-02 09:39:00,THEFT,Property,REPORTED THEFT INCIDENT,SMALL RETAIL STORE,0,0,17,7,5,18,2022,2,Wednesday,9,2022-02
JB000454,2023-12-27 13:04:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,10,29,21,26,2023,12,Wednesday,13,2023-12
JB000455,2022-06-17 20:05:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,PARKING LOT / GARAGE,0,1,6,26,25,14,2022,6,Friday,20,2022-06
JB000456,2023-04-28 10:05:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,5,17,22,07,2023,4,Friday,10,2023-04
JB000457,2023-05-03 07:49:00,THEFT,Property,REPORTED THEFT INCIDENT,RESTAURANT,0,0,22,8,54,03,2023,5,Wednesday,7,2023-05
JB000458,2022-12-18 19:19:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,12,4,6,08B,2022,12,Sunday,19,2022-12
JB000459,2022-10-11 08:14:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,0,0,4,22,42,06,2022,10,Tuesday,8,2022-10
JB000460,2022-02-23 04:37:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SMALL RETAIL STORE,0,0,22,1,63,08A,2022,2,Wednesday,4,2022-02
JB000461,2023-01-11 01:15:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,CTA TRAIN / STATION,0,0,15,50,47,26,2023,1,Wednesday,1,2023-01
JB000462,2022-11-06 09:52:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,14,48,56,03,2022,11,Sunday,9,2022-11
JB000463,2022-07-11 01:16:00,THEFT,Property,REPORTED THEFT INCIDENT,COMMERCIAL / BUSINESS OFFICE,1,0,22,50,66,06,2022,7,Monday,1,2022-07
JB000464,2022-01-30 16:32:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SMALL RETAIL STORE,0,0,24,27,28,08B,2022,1,Sunday,16,2022-01
JB000465,2022-06-19 22:03:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,1,6,33,5,05,2022,6,Sunday,22,2022-06
JB000466,2022-09-05 07:15:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,22,15,68,06,2022,9,Monday,7,2022-09
JB000467,2022-09-19 18:03:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,APARTMENT,1,0,16,8,14,06,2022,9,Monday,18,2022-09
JB000468,2023-07-15 22:18:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,0,0,15,9,7,07,2023,7,Saturday,22,2023-07
JB000469,2023-03-24 04:36:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,1,1,9,21,67,07,2023,3,Friday,4,2023-03
JB000470,2023-05-13 17:32:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,RESIDENCE,0,0,11,3,62,26,2023,5,Saturday,17,2023-05
JB000471,2022-10-20 10:35:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,3,26,24,11,2022,10,Thursday,10,2022-10
JB000472,2023-05-22 03:11:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,RESIDENCE,0,0,14,10,35,05,2023,5,Monday,3,2023-05
JB000473,2023-08-30 06:58:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,APARTMENT,1,0,16,7,1,18,2023,8,Wednesday,6,2023-08
JB000474,2023-04-06 09:40:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,1,4,9,30,18,2023,4,Thursday,9,2023-04
JB000475,2023-10-05 11:19:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESTAURANT,0,0,8,47,29,14,2023,10,Thursday,11,2023-10
JB000476,2022-12-26 03:41:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,12,50,27,06,2022,12,Monday,3,2022-12
JB000477,2022-02-17 22:14:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,RESIDENCE,0,0,12,48,49,08A,2022,2,Thursday,22,2022-02
JB000478,2022-01-06 05:18:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,STREET,0,0,16,27,31,18,2022,1,Thursday,5,2022-01
JB000479,2022-01-12 09:26:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,19,49,30,11,2022,1,Wednesday,9,2022-01
JB000480,2023-08-27 21:58:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,PARKING LOT / GARAGE,1,0,20,3,32,08A,2023,8,Sunday,21,2023-08
JB000481,2022-08-06 17:32:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,APARTMENT,0,0,20,28,23,11,2022,8,Saturday,17,2022-08
JB000482,2022-11-21 03:45:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,22,42,27,14,2022,11,Monday,3,2022-11
JB000483,2023-12-16 04:19:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,10,38,40,08B,2023,12,Saturday,4,2023-12
JB000484,2022-03-04 07:01:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,2,26,65,08B,2022,3,Friday,7,2022-03
JB000485,2022-02-15 09:58:00,WEAPONS VIOLATION,Public Safety,REPORTED WEAPONS VIOLATION INCIDENT,PARKING LOT / GARAGE,1,0,8,28,28,11,2022,2,Tuesday,9,2022-02
JB000486,2023-06-08 17:49:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,7,17,17,26,2023,6,Thursday,17,2023-06
JB000487,2023-05-02 06:09:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,APARTMENT,0,0,6,15,7,07,2023,5,Tuesday,6,2023-05
JB000488,2023-05-22 23:40:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,APARTMENT,0,0,5,22,40,11,2023,5,Monday,23,2023-05
JB000489,2023-09-23 19:08:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,RESIDENCE,0,0,7,19,45,07,2023,9,Saturday,19,2023-09
JB000490,2023-04-22 12:49:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,19,10,56,05,2023,4,Saturday,12,2023-04
JB000491,2022-11-09 14:59:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,APARTMENT,1,0,3,22,40,18,2022,11,Wednesday,14,2022-11
JB000492,2023-09-29 11:57:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,SIDEWALK,0,0,17,48,67,14,2023,9,Friday,11,2023-09
JB000493,2023-01-05 08:18:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,1,4,7,73,03,2023,1,Thursday,8,2023-01
JB000494,2023-04-24 16:51:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,0,0,22,33,19,18,2023,4,Monday,16,2023-04
JB000495,2023-12-04 13:32:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,APARTMENT,0,1,15,4,49,08B,2023,12,Monday,13,2023-12
JB000496,2023-06-15 16:58:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,APARTMENT,0,0,20,23,50,14,2023,6,Thursday,16,2023-06
JB000497,2022-12-20 06:11:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,1,1,22,27,49,11,2022,12,Tuesday,6,2022-12
JB000498,2022-08-19 17:28:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,RESIDENCE,0,0,18,31,56,26,2022,8,Friday,17,2022-08
JB000499,2022-08-08 09:00:00,THEFT,Property,REPORTED THEFT INCIDENT,GROCERY FOOD STORE,0,0,5,4,20,05,2022,8,Monday,9,2022-08
JB000500,2023-08-01 17:15:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,12,40,72,14,2023,8,Tuesday,17,2023-08
JB000501,2022-02-28 14:40:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,SIDEWALK,1,1,24,42,64,18,2022,2,Monday,14,2022-02
JB000502,2023-04-13 22:17:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,1,0,14,18,68,03,2023,4,Thursday,22,2023-04
JB000503,2022-04-12 11:29:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,10,37,26,18,2022,4,Tuesday,11,2022-04
JB000504,2023-05-05 10:35:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,STREET,0,0,11,19,29,06,2023,5,Friday,10,2023-05
JB000505,2022-07-13 07:28:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,RESIDENCE,0,0,20,38,24,14,2022,7,Wednesday,7,2022-07
JB000506,2022-11-08 08:56:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,0,11,26,17,03,2022,11,Tuesday,8,2022-11
JB000507,2023-10-19 10:52:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,COMMERCIAL / BUSINESS OFFICE,0,1,20,30,58,08B,2023,10,Thursday,10,2023-10
JB000508,2022-07-05 01:56:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,15,47,11,08B,2022,7,Tuesday,1,2022-07
JB000509,2023-06-14 03:40:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,RESIDENCE,0,0,6,1,34,11,2023,6,Wednesday,3,2023-06
JB000510,2023-04-14 13:13:00,ROBBERY,Violent,REPORTED ROBBERY INCIDENT,APARTMENT,0,0,8,33,20,06,2023,4,Friday,13,2023-04
JB000511,2022-03-14 06:27:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,1,0,19,15,37,11,2022,3,Monday,6,2022-03
JB000512,2023-02-10 01:55:00,CRIMINAL TRESPASS,Property,REPORTED CRIMINAL TRESPASS INCIDENT,STREET,0,0,10,25,5,26,2023,2,Friday,1,2023-02
JB000513,2023-09-08 17:22:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,RESIDENCE,0,0,3,40,41,06,2023,9,Friday,17,2023-09
JB000514,2022-03-10 09:28:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,SIDEWALK,0,0,10,18,53,07,2022,3,Thursday,9,2022-03
JB000515,2022-04-24 03:13:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,COMMERCIAL / BUSINESS OFFICE,1,0,20,16,33,26,2022,4,Sunday,3,2022-04
JB000516,2022-10-14 23:14:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,1,4,34,23,11,2022,10,Friday,23,2022-10
JB000517,2023-05-20 11:51:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SMALL RETAIL STORE,0,0,4,49,41,08B,2023,5,Saturday,11,2023-05
JB000518,2022-10-20 10:04:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,10,30,67,05,2022,10,Thursday,10,2022-10
JB000519,2023-12-14 18:27:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,0,1,3,42,58,03,2023,12,Thursday,18,2023-12
JB000520,2022-07-20 22:21:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,APARTMENT,0,0,19,24,37,14,2022,7,Wednesday,22,2022-07
JB000521,2023-04-28 20:32:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,PARKING LOT / GARAGE,0,1,6,38,16,11,2023,4,Friday,20,2023-04
JB000522,2023-06-27 17:53:00,THEFT,Property,REPORTED THEFT INCIDENT,SMALL RETAIL STORE,0,0,8,27,26,26,2023,6,Tuesday,17,2023-06
JB000523,2023-03-07 05:45:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,SIDEWALK,0,0,7,43,40,07,2023,3,Tuesday,5,2023-03
JB000524,2022-04-15 17:56:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,STREET,0,0,11,40,42,05,2022,4,Friday,17,2022-04
JB000525,2022-03-20 22:24:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,STREET,1,0,19,37,18,26,2022,3,Sunday,22,2022-03
JB000526,2022-02-02 07:18:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,RESIDENCE,0,0,22,42,66,05,2022,2,Wednesday,7,2022-02
JB000527,2022-04-13 22:37:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,PARKING LOT / GARAGE,0,0,7,30,60,08B,2022,4,Wednesday,22,2022-04
JB000528,2022-05-22 06:04:00,NARCOTICS,Public Order,REPORTED NARCOTICS INCIDENT,PARKING LOT / GARAGE,1,0,16,14,45,03,2022,5,Sunday,6,2022-05
JB000529,2023-10-03 23:05:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,19,43,72,07,2023,10,Tuesday,23,2023-10
JB000530,2022-09-17 08:20:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,APARTMENT,0,1,7,42,39,05,2022,9,Saturday,8,2022-09
JB000531,2023-11-14 07:51:00,MOTOR VEHICLE THEFT,Property,REPORTED MOTOR VEHICLE THEFT INCIDENT,APARTMENT,0,0,4,25,5,08B,2023,11,Tuesday,7,2023-11
JB000532,2023-04-17 23:02:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,1,0,2,1,57,26,2023,4,Monday,23,2023-04
JB000533,2023-02-06 10:08:00,BURGLARY,Property,REPORTED BURGLARY INCIDENT,STREET,0,0,4,20,60,05,2023,2,Monday,10,2023-02
JB000534,2022-09-05 02:35:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,5,47,39,08A,2022,9,Monday,2,2022-09
JB000535,2022-05-29 06:35:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,1,1,7,23,36,18,2022,5,Sunday,6,2022-05
JB000536,2022-09-23 03:57:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,25,15,14,07,2022,9,Friday,3,2022-09
JB000537,2022-06-28 21:37:00,THEFT,Property,REPORTED THEFT INCIDENT,RESIDENCE,0,0,19,33,77,05,2022,6,Tuesday,21,2022-06
JB000538,2022-04-07 08:50:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,15,9,60,07,2022,4,Thursday,8,2022-04
JB000539,2022-12-08 23:23:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,16,11,52,08A,2022,12,Thursday,23,2022-12
JB000540,2023-07-08 11:03:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,PARKING LOT / GARAGE,1,0,4,16,1,08A,2023,7,Saturday,11,2023-07
JB000541,2023-04-23 19:26:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,0,0,20,37,51,06,2023,4,Sunday,19,2023-04
JB000542,2022-10-15 01:08:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,APARTMENT,0,0,8,29,69,05,2022,10,Saturday,1,2022-10
JB000543,2022-05-23 20:23:00,THEFT,Property,REPORTED THEFT INCIDENT,STREET,0,0,12,28,40,18,2022,5,Monday,20,2022-05
JB000544,2022-08-01 08:50:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,1,0,24,43,61,08B,2022,8,Monday,8,2022-08
JB000545,2022-11-22 15:42:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,STREET,1,0,25,30,15,06,2022,11,Tuesday,15,2022-11
JB000546,2022-02-05 19:36:00,THEFT,Property,REPORTED THEFT INCIDENT,PARKING LOT / GARAGE,0,0,6,4,74,18,2022,2,Saturday,19,2022-02
JB000547,2022-05-04 21:55:00,ASSAULT,Violent,REPORTED ASSAULT INCIDENT,SMALL RETAIL STORE,0,0,12,30,46,11,2022,5,Wednesday,21,2022-05
JB000548,2023-01-06 14:52:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,STREET,1,0,14,47,46,11,2023,1,Friday,14,2023-01
JB000549,2022-11-25 00:07:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,PARKING LOT / GARAGE,0,0,1,14,22,08B,2022,11,Friday,0,2022-11
JB000550,2023-11-23 14:05:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,STREET,0,0,19,23,25,05,2023,11,Thursday,14,2023-11
JB000551,2022-07-17 11:35:00,THEFT,Property,REPORTED THEFT INCIDENT,APARTMENT,0,0,3,4,33,26,2022,7,Sunday,11,2022-07
JB000552,2023-06-09 13:59:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESIDENCE,1,0,16,22,28,08B,2023,6,Friday,13,2023-06
JB000553,2023-05-02 02:05:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,24,29,68,26,2023,5,Tuesday,2,2023-05
JB000554,2022-02-26 13:01:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,CTA TRAIN / STATION,0,1,14,32,74,11,2022,2,Saturday,13,2022-02
JB000555,2022-01-16 20:20:00,OTHER OFFENSE,Other,REPORTED OTHER OFFENSE INCIDENT,APARTMENT,0,0,5,38,13,11,2022,1,Sunday,20,2022-01
JB000556,2023-11-08 12:27:00,BATTERY,Violent,REPORTED BATTERY INCIDENT,RESIDENCE,0,1,25,5,74,11,2023,11,Wednesday,12,2023-11
JB000557,2022-04-30 03:22:00,DECEPTIVE PRACTICE,Financial/Cyber,REPORTED DECEPTIVE PRACTICE INCIDENT,PARKING LOT / GARAGE,0,0,11,9,5,06,2022,4,Saturday,3,2022-04
JB000558,2022-10-21 04:48:00,THEFT,Property,REPORTED THEFT INCIDENT,SIDEWALK,0,0,11,45,30,18,2022,10,Friday,4,2022-10
JB000559,2023-09-16 20:26:00,CRIMINAL DAMAGE,Property,REPORTED CRIMINAL DAMAGE INCIDENT,SIDEWALK,0,0,22,9,69,05,2023,9,Saturday,20,2023-09
