product_id,product_category_name,product_category_name_english,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prod_00466,relogios_presentes,Watches & Gifts,429,27,37,13
prod_00467,cama_mesa_banho,"Bed, Bath & Table",11306,72,58,47
prod_00468,esporte_lazer,Sports & Leisure,4127,78,27,30
prod_00469,informatica_acessorios,Computers & Accessories,2819,73,41,28
prod_00470,moveis_decoracao,Furniture & Decor,11235,74,12,16
prod_00471,utilidades_domesticas,Housewares,14330,76,11,29
prod_00472,automotivo,Automotive,7975,30,42,18
prod_00473,telefonia,Telephony,10093,29,51,28
prod_00474,brinquedos,Toys,4131,69,28,47
prod_00475,ferramentas_jardim,Garden Tools,4919,49,26,15
prod_00476,perfumaria,Perfumery,5397,69,53,49
prod_00477,bebes,Baby,10703,28,42,36
prod_00478,eletronicos,Electronics,4577,63,21,16
prod_00479,papelaria,Stationery,13611,21,58,41
prod_00480,fashion_bolsas_e_acessorios,Fashion Bags & Accessories,6285,44,12,23
prod_00481,beleza_saude,Health & Beauty,5723,63,52,15
prod_00482,relogios_presentes,Watches & Gifts,4281,30,58,35
prod_00483,cama_mesa_banho,"Bed, Bath & Table",10050,65,35,40
prod_00484,esporte_lazer,Sports & Leisure,13881,56,44,20
prod_00485,informatica_acessorios,Computers & Accessories,7339,31,17,15
prod_00486,moveis_decoracao,Furniture & Decor,14691,77,45,35
prod_00487,utilidades_domesticas,Housewares,11028,59,16,25
prod_00488,automotivo,Automotive,11237,21,55,16
prod_00489,telefonia,Telephony,13817,41,55,29
prod_00490,brinquedos,Toys,4685,24,45,30
prod_00491,ferramentas_jardim,Garden Tools,2926,48,25,23
prod_00492,perfumaria,Perfumery,9461,50,33,29
prod_00493,bebes,Baby,11330,39,10,28
prod_00494,eletronicos,Electronics,12601,20,58,41
prod_00495,papelaria,Stationery,12585,38,34,35
prod_00496,fashion_bolsas_e_acessorios,Fashion Bags & Accessories,7847,32,19,22
prod_00497,beleza_saude,Health & Beauty,14779,20,25,46
prod_00498,relogios_presentes,Watches & Gifts,8536,43,25,34
prod_00499,cama_mesa_banho,"Bed, Bath & Table",812,39,17,28
prod_00500,esporte_lazer,Sports & Leisure,8821,69,38,12
